artist_id,artist_name,followers,genres,popularity
20sxb77xiYeusSH8cVdatc,Meek Mill,7653560,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",74
2JI8ViuZDBybY6Xd9ujUrb,Reese Lansangan,176822,"['opm', 'pinoy indie']",42
3hv9jJF3adDNsBSIQDqcjp,Mark Ronson,1046824,['pop soul'],73
3KovZIDNYgQY8chiNZo2ZF,Just Hush,480588,"['opm', 'pinoy r&b', 'pinoy trap']",56
4STHEaNw4mPZ2tzheohgXB,Paul McCartney,4570285,"['beatlesque', 'classic rock', 'mellow gold', 'rock']",69
49e4v89VmlDcFCMyDv9wQ9,Dean Martin,1556654,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",67
0qSX3s5pJnAlSsgsCne8Cz,Brett Eldredge,1463867,"['contemporary country', 'country', 'country road', 'modern country rock']",59
4x1nvY2FN8jxqAFA0DA02H,John Lennon,5691497,"['beatlesque', 'classic rock', 'rock']",68
7CyeXFnOrfC1N6z4naIpgo,The Ronettes,259052,"['brill building pop', 'classic girl group', 'motown', 'rock-and-roll']",58
5v8jlSmAQfrkTjAlpUfWtu,Perry Como,492823,"['adult standards', 'easy listening']",56
0MHgLfmQdutffmvWe5XBTN,Burl Ives,90147,"['adult standards', 'american folk revival']",48
77tT1kLj6mCWtFNqiOmP9H,Daryl Hall & John Oates,2241429,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'singer-songwriter', 'soft rock', 'yacht rock']",72
1x9aBTOQP8VjLBgKVm81K6,Nef Medina,1184,['opm'],28
7K78lVZ8XzkjfRSI7570FF,José Feliciano,368353,"['latin pop', 'puerto rican pop']",60
2lolQgalUvZDfp5vvVtTYV,Tony Bennett,872678,"['adult standards', 'easy listening', 'lounge', 'vocal jazz']",62
4ivXbUYuZslF08Ca5EuJGc,Kithara,10999,['opm'],18
5KEG7G8LDYlHgFDqZyEEs2,Chris Rea,950355,"['soft rock', 'sophisti-pop']",58
