track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
5DEp4UmhxN7OLnYQacWZhh,At My Best (feat. Hailee Steinfeld),6TIYQ3jFPwQSRmorSezPxX,Machine Gun Kelly,6ISGrHurbPC9lnaoBWQ7x5,200733,2017-03-17,0,0.531,0.786,5,-6.661,1,0.243,0.00222,0.000316,0.132,0.244,169.892
6yL2kTsdVwYnGwPkKGtMd5,Everyday,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,3OZgEywV4krCZ814pTJWr7,194840,2016-05-20,1,0.637,0.733,7,-4.413,0,0.0563,0.0149,0.0,0.162,0.431,131.004
14oOKFGuXu8DqvOe1W8vao,Bon Appétit,6jJ0s89eD6GaHleKKya26X,Katy Perry,0PUhdd2AlyEACcz4f0RiiK,227292,2017-04-28,0,0.797,0.791,6,-5.799,1,0.0626,0.115,6e-05,0.144,0.516,106.044
1N90cV79gbBgO0bOs74Y0t,"Heatstroke (feat. Young Thug, Pharrell Williams & Ariana Grande)",7CajNmpbOovFoOoasH2HaY,Calvin Harris,56mWuvukxl5ylhGoa0OBzw,229640,2017-03-31,47,0.786,0.735,0,-4.502,0,0.0495,0.362,0.0,0.176,0.747,110.124
542Xd5qDeLBvgXZXhfW7LE,Obsession (feat. Jon Bellion),0q4NrXqJnc367PieejuROJ,Vice,6y1SZiQU51b01ZVmGARts0,221982,2017-03-10,36,0.741,0.559,10,-7.775,1,0.03,0.00728,0.000971,0.21,0.466,101.999
1WC5UN1U79gJlxGLYDGIO7,Green Light,163tK9Wjr9P9DmM0AVK7lm,Lorde,3Jvd3wjRENrLxPgUxQ5Exz,234661,2017-03-02,0,0.61,0.712,9,-7.808,1,0.0776,0.0147,1.12e-05,0.0843,0.283,128.921
4T2SmVJPtDdugk5j5xV1d5,You And Me,5PokPZn11xzZXyXSfnvIM3,Lifehouse,4mmUYaBXYsLKsuCoAE9UvX,195493,2005-01-01,0,0.458,0.428,7,-7.835,1,0.0268,0.115,0.0,0.161,0.363,139.9
5hHudNsfZXmdgefWxAX2LG,Hard Times,74XFHRwlV6OrjEM0A2NCMF,Paramore,7IefnE4Gu6Vwp6wayHxV40,182693,2017-04-19,49,0.695,0.818,5,-5.379,0,0.0334,0.00647,4.87e-06,0.0219,0.916,119.965
6CUBgX8bXC5YQCkdgRHqyg,do re mi,2cFrymmkijnjDg9SS92EPM,blackbear,2l3HIzSVnACXyTc2SduFOI,212027,2017-04-21,0,0.745,0.595,8,-6.35,1,0.0486,0.00483,1.13e-05,0.125,0.169,110.966
5ndfVSDyPq90jaIUhNPeby,Chained To The Rhythm,6jJ0s89eD6GaHleKKya26X,Katy Perry,1VIX8YDyQOaUhWpHhP6Ttu,237915,2017-02-10,0,0.446,0.793,0,-5.365,1,0.156,0.089,0.0,0.211,0.47,189.891
56lBX2WHqfGuoeZxZvUnVj,Thunder,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,0VvK3TRKSJTk2FR4bzCV1w,187761,2017-04-27,0,0.601,0.834,0,-3.78,1,0.0455,0.00502,0.15,0.121,0.249,167.879
6LM8MeuL0otvdufEVtaxCP,Plot Twist,4TrraAsitQKl821DQY42cZ,Sigrid,5BPGgAOGNXjXskU4DVbjl4,205133,2017-04-21,0,0.49,0.67,1,-6.004,1,0.0396,0.00286,0.135,0.283,0.196,175.936
3qs5vRk6QTsyeRjZZquDvb,Diwata,5mNum7eUoqWS6NBo91NYHP,Abra,4QOthIuemu9klr2jvmKffr,277240,2013-12-01,0,0.72,0.837,1,-7.264,1,0.0359,0.49,0.0,0.208,0.917,92.025
7MXVkk9YMctZqd1Srtv4MB,Starboy,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,2ODvWsOgouMbaA5xf0RkJe,230453,2016-11-25,93,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,186.003
7DQXiMeLqiQsy1uqHSk0xc,Reminding Me,7blkMNJv8n9ceP9zlA4W2U,Shawn Hook,57aywsDeQl0aevL6OyYUiR,209924,2017-04-21,0,0.562,0.569,9,-4.798,0,0.0459,0.0906,0.0,0.0846,0.261,132.797
13sXuI5RjMHm7dz7O3spYs,Sweet Creature,6KImCVD70vtIoJWnq6nGn3,Harry Styles,5Oaip8Twmcv0at7PChu6pF,224866,2017-05-02,0,0.427,0.262,7,-8.541,1,0.0276,0.746,0.0,0.068,0.228,104.085
56RVUAFH9NF8zhTZ5A9KVF,Call on Me - Ryan Riback Remix,02A3cEvlLLCbIMVDrK2GHV,Starley,1qpzQaJEsbDtQ9Gfrk5A9w,222000,2017-02-10,47,0.691,0.821,0,-4.527,1,0.0401,0.136,0.000115,0.092,0.759,104.961
6MQJ0SPApUWxHYQShpZlZb,Told You So,74XFHRwlV6OrjEM0A2NCMF,Paramore,3NyMsz6wskaV27FyP1V1oC,188946,2017-05-03,38,0.639,0.814,2,-5.632,0,0.0385,0.0029,2.98e-05,0.0529,0.904,123.922
167NczpNbRF7oWakJaY3Hh,Slow Hands,1Hsdzj7Dlq2I7tHP7501T4,Niall Horan,7BJ02LuWRn3RH7yDHZAJr2,188174,2017-05-04,0,0.728,0.426,0,-6.69,1,0.0509,0.0142,0.0,0.0546,0.844,85.908
47OVNnZJzIkrsEiZ4n187p,Mama,1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,1PJTxJTsQxGT7KTY8gBfR7,184133,2017-05-05,62,0.737,0.792,11,-4.117,0,0.0416,0.102,0.0,0.0532,0.543,104.012
1giyYwEQ70ticu30keWpZ4,The Breakup,49tQo2QULno7gxHutgccqF,LANY,7jeQQVx9KjhPZ1irzN8aFf,236693,2017-05-05,25,0.554,0.718,1,-5.361,1,0.0857,0.105,0.0601,0.293,0.562,116.086
5aFQU3VPCQ3YGfKBA4tLfj,1-800-273-8255,4xRYI6VqpkE3UwrDrAZL8L,Logic,1sweBli5bv5QIothRFFMsf,250173,2017-05-05,0,0.627,0.572,5,-7.738,0,0.0373,0.568,1.52e-06,0.198,0.361,100.041
4Q5yMlwAfAoitqg4r9oZHN,Quit (feat. Ariana Grande),2LZDXcxJWgsJfKXZv9a5eG,Cashmere Cat,0JjoGwsBjce2mgHRliH0VN,258188,2017-04-28,0,0.365,0.413,0,-7.369,0,0.0507,0.103,3.13e-05,0.103,0.125,84.746
5tz69p7tJuGPeMGwNTxYuV,1-800-273-8255,4xRYI6VqpkE3UwrDrAZL8L,Logic,1HiN2YXZcc3EjmVZ4WjfBk,250173,2017-05-05,78,0.62,0.574,5,-7.788,0,0.0479,0.569,0.0,0.19,0.357,100.023
4xlrALxuaCf9yZBHJeTSG6,Mama,1HBjj22wzbscIZ9sEb5dyf,Jonas Blue,330R0sGGLnkJiXicee8jTK,184133,2017-05-05,1,0.741,0.79,11,-4.086,0,0.0469,0.113,0.0,0.0542,0.528,104.043
5mCPDVBb16L4XQwDdbRUpz,Passionfruit,3TVXtAsR1Inumwj472S9r4,Drake,1lXY618HWkwYKJWBRYR4MK,298940,2017-03-18,87,0.809,0.463,11,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98
4rwqrKdwlFWJ6LvPYaOtgn,Quit (feat. Ariana Grande),2LZDXcxJWgsJfKXZv9a5eG,Cashmere Cat,5HR24TLfeGpDT860C7qka9,258188,2017-04-28,65,0.44,0.413,0,-7.365,0,0.0407,0.105,3.4e-05,0.0997,0.141,86.911
4K3rHzlRYtoXXoDqh9sao2,Middle Of The Night,7gAppWoH7pcYmphCVTXkzs,The Vamps,10BOMcEwyYVgNK2ScyivK4,176110,2017-04-28,0,0.61,0.747,11,-4.25,0,0.0531,0.00377,0.0,0.0662,0.436,129.976
2eMwDehkIC1j68U6FA3Eiq,XO TOUR Llif3,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,4CZVGlURM8vncG4ftZULTS,182706,2017-03-24,8,0.732,0.75,11,-6.366,0,0.231,0.00264,0.0,0.109,0.401,155.096
1v3bR4v6SruaE8efrTUqqp,Lost In Your Light (feat. Miguel),6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,62p5XdeJZ6LMZ94D37rMM1,203769,2017-04-21,59,0.646,0.772,2,-3.826,1,0.0564,0.000402,0.0,0.102,0.414,117.097
6XOYVSmNDjKUNMXooU4s4z,No Vacancy,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,7GxsxPFTZANnpsAONtZlHQ,223189,2017-04-28,0,0.71,0.73,5,-4.001,1,0.0607,0.0571,0.0,0.139,0.48,99.986
